N: 10
J1/J2 START: 0.8
J1/J2 END: 1.4
datapoints: 50000
caculation time with 16 threads: 5485.58 seconds

J1/J2	Delta E in J2
0.8	0.129383
0.800012	0.129374
0.800024	0.129365
0.800036	0.129356
0.800048	0.129347
0.80006	0.129338
0.800072	0.129329
0.800084	0.12932
0.800096	0.129311
0.800108	0.129302
0.80012	0.129293
0.800132	0.129284
0.800144	0.129275
0.800156	0.129266
0.800168	0.129257
0.80018	0.129248
0.800204	0.12923
0.800216	0.129221
0.800228	0.129212
0.80024	0.129203
0.800252	0.129194
0.800264	0.129185
0.800276	0.129176
0.800288	0.129167
0.8003	0.129158
0.800312	0.129149
0.800324	0.12914
0.800336	0.129131
0.800348	0.129122
0.80036	0.129113
0.800372	0.129104
0.800384	0.129095
0.800396	0.129086
0.800408	0.129077
0.80042	0.129068
0.800432	0.129059
0.800444	0.12905
0.800456	0.129041
0.800468	0.129032
0.80048	0.129023
0.800492	0.129014
0.800504	0.129005
0.800516	0.128996
0.800528	0.128987
0.80054	0.128978
0.800552	0.128969
0.800564	0.12896
0.800576	0.128951
0.800588	0.128942
0.8006	0.128933
0.800612	0.128924
0.800624	0.128915
0.800636	0.128906
0.800648	0.128897
0.80066	0.128889
0.800672	0.12888
0.800684	0.128871
0.800696	0.128862
0.800708	0.128853
0.80072	0.128844
0.800732	0.128835
0.800744	0.128826
0.800756	0.128817
0.800768	0.128808
0.80078	0.128799
0.800792	0.12879
0.800804	0.128781
0.800816	0.128772
0.800828	0.128763
0.80084	0.128754
0.800852	0.128745
0.800864	0.128736
0.800876	0.128727
0.800888	0.128718
0.8009	0.128709
0.800912	0.1287
0.800924	0.128691
0.800936	0.128682
0.800948	0.128673
0.80096	0.128664
0.800972	0.128655
0.800984	0.128646
0.800996	0.128637
0.801008	0.128628
0.80102	0.128619
0.801032	0.12861
0.801044	0.128601
0.801056	0.128592
0.801068	0.128583
0.80108	0.128574
0.801092	0.128565
0.801104	0.128556
0.801116	0.128547
0.801128	0.128538
0.80114	0.128529
0.801152	0.12852
0.801164	0.128511
0.801176	0.128502
0.801188	0.128493
0.8012	0.128484
0.801212	0.128475
0.801224	0.128466
0.801236	0.128457
0.801248	0.128448
0.80126	0.128439
0.801272	0.128431
